student_id,name,email
1,Joseph,jack31@mendez-jackson.com
2,Justin,bmalone@caldwell.org
3,Shawn,jimenezchristopher@yahoo.com
4,Danielle,jerry59@hotmail.com
5,Dustin,matthewkeller@smith-williamson.com
6,Katherine,scottmichael@gmail.com
7,Nichole,tvargas@hotmail.com
8,Bradley,ambergates@matthews.com
9,Dawn,frank60@hotmail.com
10,Andrew,gwilson@douglas-gutierrez.com
11,Christopher,courtney41@hayes.com
12,David,pwilson@yahoo.com
13,Emily,meyersgregory@herrera.com
14,Chelsea,nwilliams@yahoo.com
15,Zachary,brendabennett@wright.com
16,Melissa,wnoble@brown-jordan.org
17,Austin,gvazquez@jones.biz
18,Amy,sharon47@chavez.com
19,Victoria,barajascory@hotmail.com
20,Corey,barry38@hotmail.com
21,Michael,ethompson@yahoo.com
22,David,david07@gmail.com
23,Julie,cindymoreno@rodriguez.com
24,Frank,jasmine55@morris.org
25,Rhonda,rblevins@robinson.com
26,James,jasonhicks@gmail.com
27,Amanda,lindseyjamie@gomez-clark.com
28,Julie,duncanwilliam@yahoo.com
29,Dennis,spencerdavis@hotmail.com
30,Michael,evelyn52@arnold.com
